1,Sports & Outdoors,Sports-Outdoors
2,Toys & Games,Toys-Games
3,No_category,NoCategory
4,"Clothing, Shoes & Jewelry",ClothingShoes
5,Home & Kitchen,Home
6,Baby Products,Baby-Products
7,Pet Supplies,Pet-Supplies
8,"Arts, Crafts & Sewing",ArtsCrafts
9,Electronics,Electronics
10,Video Games,Video-Games
11,"Patio, Lawn & Garden",Patio
12,Tools & Home Improvement,Tools
13,Office Products,Office-Products
14,Grocery & Gourmet Food,Grocery
15,Remote & App Controlled Vehicles Parts,RemoteApp
16,Health & Household,Health
17,Industrial & Scientific,Industrial
18,Beauty & Personal Care,Beauty
19,Hobbies,Hobbies
20,Remote & App Controlled Vehicles & Parts,Remote
21,Automotive,Automotive
22,Cell Phones & Accessories,Cell-Phones
